state,year,Insects,"Weeds, grass, or brush",Nematodes,Pesticide_applied_acreage,num_inspections,Facility_Total,inspection_rate
HAWAII,2017,50380.0,93195.0,5040.0,157578.0,25.0,5031.0,0.004969191015702644
IDAHO,2012,1463898.0,3743665.0,331325.0,6458598.0,94.0,12278.0,0.007655970027691806
IDAHO,2017,1760905.0,3775387.0,293632.0,6879948.0,79.0,12384.0,0.0063791989664082685
ILLINOIS,2012,9415667.0,21526174.0,1149489.0,33824518.0,25.0,48977.0,0.0005104436776446087
ILLINOIS,2017,8714608.0,21577782.0,1595798.0,34951159.0,26.0,49763.0,0.000522476538793883
INDIANA,2012,4024293.0,11309277.0,667152.0,16720913.0,7.0,35577.0,0.00019675633133766198
INDIANA,2017,4204138.0,11410837.0,836056.0,17928386.0,7.0,36694.0,0.00019076688286913393
IOWA,2012,9204573.0,23200379.0,1045726.0,35153302.0,21.0,58654.0,0.0003580318477853173
IOWA,2017,8704278.0,22540781.0,1659332.0,35830885.0,19.0,57554.0,0.0003301247524064357
KANSAS,2012,3462433.0,21834196.0,247381.0,27570099.0,22.0,37584.0,0.0005853554704129416
KANSAS,2017,4903052.0,21736980.0,258451.0,29271583.0,6.0,35500.0,0.00016901408450704225
KENTUCKY,2012,1758021.0,3451620.0,188864.0,5795511.0,29.0,35991.0,0.0008057569948042566
KENTUCKY,2017,2234786.0,3748243.0,322990.0,7326868.0,44.0,36584.0,0.0012027115678985348
LOUISIANA,2012,2222104.0,3087652.0,236018.0,6707632.0,39.0,8743.0,0.004460711426283884
LOUISIANA,2017,2419316.0,3157610.0,248249.0,7008846.0,36.0,8747.0,0.004115696810334972
MAINE,2012,141903.0,210182.0,37580.0,486681.0,108.0,4899.0,0.02204531537048377
MAINE,2017,111751.0,165095.0,7803.0,377651.0,60.0,4904.0,0.012234910277324634
MARYLAND,2012,581377.0,1086600.0,43457.0,1851739.0,37.0,6389.0,0.005791203631241196
MARYLAND,2017,612496.0,1130176.0,62787.0,2024838.0,39.0,6891.0,0.0056595559425337396
MICHIGAN,2012,2218992.0,5767291.0,376530.0,9144285.0,43.0,31697.0,0.0013565952613812033
MICHIGAN,2017,2171602.0,5919857.0,407101.0,9442672.0,28.0,31228.0,0.0008966312283847829
MINNESOTA,2012,6294083.0,17838092.0,795308.0,26723076.0,17.0,49591.0,0.0003428041378475933
MINNESOTA,2017,7867716.0,18000973.0,786555.0,28838683.0,25.0,46722.0,0.0005350798339112195
MISSISSIPPI,2012,2425471.0,3780101.0,319154.0,7234230.0,35.0,12126.0,0.0028863598878443014
MISSISSIPPI,2017,2891626.0,3950419.0,190521.0,7995757.0,35.0,11780.0,0.0029711375212224107
MISSOURI,2012,3454842.0,9957304.0,512511.0,14628477.0,20.0,45711.0,0.0004375314475727943
MISSOURI,2017,4816682.0,10652295.0,819629.0,17716940.0,28.0,45997.0,0.0006087353523055851
MONTANA,2012,677931.0,9850643.0,75477.0,11548843.0,28.0,13758.0,0.002035179531908708
MONTANA,2017,983167.0,10671073.0,77559.0,12804119.0,20.0,11813.0,0.0016930500296283755
NEBRASKA,2012,5513780.0,17616379.0,618211.0,25459085.0,25.0,33375.0,0.000749063670411985
NEBRASKA,2017,6272912.0,18529890.0,727147.0,27682627.0,5.0,30911.0,0.00016175471514994662
NEVADA,2012,140072.0,244067.0,13194.0,405029.0,14.0,1494.0,0.009370816599732263
NEVADA,2017,115703.0,257744.0,1879.0,378577.0,13.0,1344.0,0.009672619047619048
NEW HAMPSHIRE,2012,7192.0,20301.0,,31275.0,61.0,2356.0,0.025891341256366725
NEW HAMPSHIRE,2017,4629.0,16142.0,424.0,23795.0,40.0,2304.0,0.017361111111111112
NEW JERSEY,2012,146204.0,300039.0,22651.0,534689.0,181.0,5812.0,0.031142463867859602
NEW JERSEY,2017,147844.0,288226.0,21915.0,533171.0,66.0,6414.0,0.01028999064546305
NEW MEXICO,2012,252685.0,796059.0,53322.0,1136634.0,34.0,8640.0,0.003935185185185185
NEW MEXICO,2017,295601.0,768068.0,25600.0,1112679.0,38.0,8251.0,0.004605502363349897
NEW YORK,2012,823419.0,1909800.0,81518.0,3039730.0,30.0,22046.0,0.0013607910732105597
NEW YORK,2017,722397.0,1754911.0,63374.0,2786047.0,19.0,21649.0,0.0008776386900087764
NORTH CAROLINA,2012,2350771.0,3776603.0,627543.0,7424918.0,333.0,24610.0,0.013531084924827306
NORTH CAROLINA,2017,2712981.0,3944774.0,573559.0,7999048.0,280.0,24144.0,0.011597084161696488
NORTH DAKOTA,2012,5297112.0,21732164.0,304453.0,32260565.0,16.0,18220.0,0.0008781558726673985
NORTH DAKOTA,2017,5304802.0,22307700.0,455878.0,32546858.0,14.0,15706.0,0.0008913790907933274
OHIO,2012,2657942.0,8651641.0,331083.0,12194817.0,10.0,47771.0,0.00020933202151933182
OHIO,2017,2746661.0,8723387.0,317088.0,12614232.0,21.0,51675.0,0.00040638606676342525
OKLAHOMA,2012,1448346.0,8704833.0,79376.0,10709798.0,36.0,29937.0,0.0012025253031365869
OKLAHOMA,2017,2574970.0,8799347.0,93261.0,12203096.0,19.0,25642.0,0.0007409718430699633
PENNSYLVANIA,2012,1000265.0,2354445.0,88584.0,3641936.0,70.0,36948.0,0.0018945545090397315
PENNSYLVANIA,2017,932802.0,2353564.0,81233.0,3601446.0,64.0,35002.0,0.0018284669447460144
RHODE ISLAND,2012,7387.0,10645.0,1780.0,19812.0,13.0,661.0,0.019667170953101363
RHODE ISLAND,2017,4625.0,5570.0,865.0,13415.0,16.0,577.0,0.02772963604852686
SOUTH CAROLINA,2012,815337.0,1367766.0,364138.0,2866811.0,79.0,10020.0,0.007884231536926148
SOUTH CAROLINA,2017,1089759.0,1434252.0,264619.0,3156839.0,140.0,10565.0,0.013251301467108376
SOUTH DAKOTA,2012,3397964.0,14827322.0,240615.0,19499290.0,101.0,19574.0,0.00515990599775212
SOUTH DAKOTA,2017,3460526.0,15562274.0,248283.0,20031395.0,121.0,17734.0,0.006823051764971242
TENNESSEE,2012,1336922.0,2893835.0,135351.0,4787546.0,40.0,19897.0,0.002010353319595919
TENNESSEE,2017,1910918.0,3564799.0,178427.0,6420443.0,43.0,30751.0,0.0013983285096419629
TEXAS,2012,6506975.0,20007797.0,1260084.0,28837854.0,178.0,77520.0,0.002296181630546956
TEXAS,2017,7602727.0,20096246.0,532425.0,29641067.0,75.0,66273.0,0.0011316825856683718
UTAH,2012,340370.0,699833.0,9417.0,1063391.0,25.0,8320.0,0.0030048076923076925
UTAH,2017,349542.0,589417.0,5944.0,971584.0,0.0,8326.0,0.0
VERMONT,2012,28278.0,103502.0,2938.0,140303.0,2.0,4551.0,0.00043946385409800046
VERMONT,2017,18760.0,96667.0,3864.0,127324.0,9.0,4427.0,0.0020329794443189517
VIRGINIA,2012,786176.0,1514896.0,131121.0,2677610.0,40.0,19601.0,0.0020407122085607876
VIRGINIA,2017,850995.0,1581538.0,170141.0,2927217.0,37.0,20026.0,0.001847598122440827
WASHINGTON,2012,1289791.0,4469109.0,348374.0,7720909.0,40.0,17331.0,0.0023080030004039003
WASHINGTON,2017,1491976.0,4739126.0,250288.0,8388494.0,52.0,17271.0,0.0030108273985293265
WEST VIRGINIA,2012,30211.0,140455.0,4028.0,182795.0,0.0,11494.0,0.0
WEST VIRGINIA,2017,30609.0,133710.0,2994.0,176778.0,11.0,13201.0,0.000833270206802515
WISCONSIN,2012,2667175.0,6714970.0,346553.0,10199186.0,28.0,44977.0,0.0006225404095426551
WISCONSIN,2017,1910264.0,6795580.0,272400.0,9497150.0,43.0,44332.0,0.0009699539835784535
WYOMING,2012,215211.0,676412.0,10433.0,922462.0,,4577.0,
WYOMING,2017,283836.0,832477.0,7376.0,1170837.0,,4361.0,
