state,year,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Pesticide_applied_acreage,program_x,period_x,geo_level_x,state_ansi_x,commodity_x,data_item_x,domain_x,domain_category_x,num_facilities,program_y,period_y,geo_level_y,state_ansi_y,commodity_y,data_item_y,domain_y,domain_category_y,num_inspections,inspection_rate
CONNECTICUT,2017,"24,937","46,468","3,955","9,534","84,894",CENSUS,YEAR,STATE,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3257,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,9.0,0.00276327909118821
CONNECTICUT,2017,"24,937","46,468","3,955","9,534","84,894",CENSUS,YEAR,STATE,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3257,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
DELAWARE,2017,"279,333","409,649","26,432","121,136","836,550",CENSUS,YEAR,STATE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1308,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,10.0,0.00764525993883792
DELAWARE,2017,"279,333","409,649","26,432","121,136","836,550",CENSUS,YEAR,STATE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1308,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
FLORIDA,2017,"1,498,918","1,886,519","360,704","845,962","4,592,103",CENSUS,YEAR,STATE,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16239,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,645.0,0.03971919453168299
FLORIDA,2017,"1,498,918","1,886,519","360,704","845,962","4,592,103",CENSUS,YEAR,STATE,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16239,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
GEORGIA,2017,"2,646,137","3,420,961","671,621","1,130,408","7,869,127",CENSUS,YEAR,STATE,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17165,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,77.0,0.004485872414797553
GEORGIA,2017,"2,646,137","3,420,961","671,621","1,130,408","7,869,127",CENSUS,YEAR,STATE,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17165,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
HAWAII,2017,"50,380","93,195","5,040","8,963","157,578",CENSUS,YEAR,STATE,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5031,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,25.0,0.004969191015702644
HAWAII,2017,"50,380","93,195","5,040","8,963","157,578",CENSUS,YEAR,STATE,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5031,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
IDAHO,2017,"1,760,905","3,775,387","293,632","1,050,024","6,879,948",CENSUS,YEAR,STATE,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12384,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,79.0,0.0063791989664082685
IDAHO,2017,"1,760,905","3,775,387","293,632","1,050,024","6,879,948",CENSUS,YEAR,STATE,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12384,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
ILLINOIS,2017,"8,714,608","21,577,782","1,595,798","3,062,971","34,951,159",CENSUS,YEAR,STATE,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49763,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,26.0,0.000522476538793883
ILLINOIS,2017,"8,714,608","21,577,782","1,595,798","3,062,971","34,951,159",CENSUS,YEAR,STATE,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49763,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
INDIANA,2017,"4,204,138","11,410,837","836,056","1,477,355","17,928,386",CENSUS,YEAR,STATE,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36694,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,7.0,0.00019076688286913393
INDIANA,2017,"4,204,138","11,410,837","836,056","1,477,355","17,928,386",CENSUS,YEAR,STATE,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36694,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
IOWA,2017,"8,704,278","22,540,781","1,659,332","2,926,494","35,830,885",CENSUS,YEAR,STATE,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,57554,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,19.0,0.0003301247524064357
IOWA,2017,"8,704,278","22,540,781","1,659,332","2,926,494","35,830,885",CENSUS,YEAR,STATE,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,57554,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
KANSAS,2017,"4,903,052","21,736,980","258,451","2,373,100","29,271,583",CENSUS,YEAR,STATE,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35500,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,6.0,0.00016901408450704225
KANSAS,2017,"4,903,052","21,736,980","258,451","2,373,100","29,271,583",CENSUS,YEAR,STATE,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35500,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
KENTUCKY,2017,"2,234,786","3,748,243","322,990","1,020,849","7,326,868",CENSUS,YEAR,STATE,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36584,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,44.0,0.0012027115678985348
KENTUCKY,2017,"2,234,786","3,748,243","322,990","1,020,849","7,326,868",CENSUS,YEAR,STATE,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36584,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
LOUISIANA,2017,"2,419,316","3,157,610","248,249","1,183,671","7,008,846",CENSUS,YEAR,STATE,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8747,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,36.0,0.004115696810334972
LOUISIANA,2017,"2,419,316","3,157,610","248,249","1,183,671","7,008,846",CENSUS,YEAR,STATE,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8747,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MAINE,2017,"111,751","165,095","7,803","93,002","377,651",CENSUS,YEAR,STATE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4904,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,60.0,0.012234910277324634
MAINE,2017,"111,751","165,095","7,803","93,002","377,651",CENSUS,YEAR,STATE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4904,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MARYLAND,2017,"612,496","1,130,176","62,787","219,379","2,024,838",CENSUS,YEAR,STATE,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6891,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,39.0,0.0056595559425337396
MARYLAND,2017,"612,496","1,130,176","62,787","219,379","2,024,838",CENSUS,YEAR,STATE,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6891,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MASSACHUSETTS,2017,"34,823","45,819","3,437","20,774","104,853",CENSUS,YEAR,STATE,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4312,,,,,,,,,,
MICHIGAN,2017,"2,171,602","5,919,857","407,101","944,112","9,442,672",CENSUS,YEAR,STATE,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31228,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,28.0,0.0008966312283847829
MICHIGAN,2017,"2,171,602","5,919,857","407,101","944,112","9,442,672",CENSUS,YEAR,STATE,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31228,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MINNESOTA,2017,"7,867,716","18,000,973","786,555","2,183,439","28,838,683",CENSUS,YEAR,STATE,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,46722,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,25.0,0.0005350798339112195
MINNESOTA,2017,"7,867,716","18,000,973","786,555","2,183,439","28,838,683",CENSUS,YEAR,STATE,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,46722,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MISSISSIPPI,2017,"2,891,626","3,950,419","190,521","963,191","7,995,757",CENSUS,YEAR,STATE,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11780,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,35.0,0.0029711375212224107
MISSISSIPPI,2017,"2,891,626","3,950,419","190,521","963,191","7,995,757",CENSUS,YEAR,STATE,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11780,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MISSOURI,2017,"4,816,682","10,652,295","819,629","1,428,334","17,716,940",CENSUS,YEAR,STATE,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45997,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,28.0,0.0006087353523055851
MISSOURI,2017,"4,816,682","10,652,295","819,629","1,428,334","17,716,940",CENSUS,YEAR,STATE,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45997,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
MONTANA,2017,"983,167","10,671,073","77,559","1,072,320","12,804,119",CENSUS,YEAR,STATE,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11813,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,20.0,0.0016930500296283755
MONTANA,2017,"983,167","10,671,073","77,559","1,072,320","12,804,119",CENSUS,YEAR,STATE,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11813,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEBRASKA,2017,"6,272,912","18,529,890","727,147","2,152,678","27,682,627",CENSUS,YEAR,STATE,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,30911,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,5.0,0.00016175471514994662
NEBRASKA,2017,"6,272,912","18,529,890","727,147","2,152,678","27,682,627",CENSUS,YEAR,STATE,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,30911,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEVADA,2017,"115,703","257,744","1,879","3,251","378,577",CENSUS,YEAR,STATE,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1344,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,13.0,0.009672619047619048
NEVADA,2017,"115,703","257,744","1,879","3,251","378,577",CENSUS,YEAR,STATE,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1344,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEW HAMPSHIRE,2017,"4,629","16,142",424,"2,600","23,795",CENSUS,YEAR,STATE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2304,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,40.0,0.017361111111111112
NEW HAMPSHIRE,2017,"4,629","16,142",424,"2,600","23,795",CENSUS,YEAR,STATE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2304,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEW JERSEY,2017,"147,844","288,226","21,915","75,186","533,171",CENSUS,YEAR,STATE,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6414,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,66.0,0.01028999064546305
NEW JERSEY,2017,"147,844","288,226","21,915","75,186","533,171",CENSUS,YEAR,STATE,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6414,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEW MEXICO,2017,"295,601","768,068","25,600","23,410","1,112,679",CENSUS,YEAR,STATE,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8251,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,38.0,0.004605502363349897
NEW MEXICO,2017,"295,601","768,068","25,600","23,410","1,112,679",CENSUS,YEAR,STATE,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8251,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NEW YORK,2017,"722,397","1,754,911","63,374","245,365","2,786,047",CENSUS,YEAR,STATE,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,21649,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,19.0,0.0008776386900087764
NEW YORK,2017,"722,397","1,754,911","63,374","245,365","2,786,047",CENSUS,YEAR,STATE,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,21649,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NORTH CAROLINA,2017,"2,712,981","3,944,774","573,559","767,734","7,999,048",CENSUS,YEAR,STATE,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,24144,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,280.0,0.011597084161696488
NORTH CAROLINA,2017,"2,712,981","3,944,774","573,559","767,734","7,999,048",CENSUS,YEAR,STATE,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,24144,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
NORTH DAKOTA,2017,"5,304,802","22,307,700","455,878","4,478,478","32,546,858",CENSUS,YEAR,STATE,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15706,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,14.0,0.0008913790907933274
NORTH DAKOTA,2017,"5,304,802","22,307,700","455,878","4,478,478","32,546,858",CENSUS,YEAR,STATE,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15706,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
OHIO,2017,"2,746,661","8,723,387","317,088","827,096","12,614,232",CENSUS,YEAR,STATE,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,51675,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,21.0,0.00040638606676342525
OHIO,2017,"2,746,661","8,723,387","317,088","827,096","12,614,232",CENSUS,YEAR,STATE,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,51675,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
OKLAHOMA,2017,"2,574,970","8,799,347","93,261","735,518","12,203,096",CENSUS,YEAR,STATE,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,25642,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,19.0,0.0007409718430699633
OKLAHOMA,2017,"2,574,970","8,799,347","93,261","735,518","12,203,096",CENSUS,YEAR,STATE,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,25642,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
OREGON,2017,"780,023","2,685,756","115,179","830,167","4,411,125",CENSUS,YEAR,STATE,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17894,,,,,,,,,,
PENNSYLVANIA,2017,"932,802","2,353,564","81,233","233,847","3,601,446",CENSUS,YEAR,STATE,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35002,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,64.0,0.0018284669447460144
PENNSYLVANIA,2017,"932,802","2,353,564","81,233","233,847","3,601,446",CENSUS,YEAR,STATE,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35002,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
RHODE ISLAND,2017,"4,625","5,570",865,"2,355","13,415",CENSUS,YEAR,STATE,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,577,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,16.0,0.02772963604852686
RHODE ISLAND,2017,"4,625","5,570",865,"2,355","13,415",CENSUS,YEAR,STATE,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,577,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
SOUTH CAROLINA,2017,"1,089,759","1,434,252","264,619","368,209","3,156,839",CENSUS,YEAR,STATE,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10565,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,140.0,0.013251301467108376
SOUTH CAROLINA,2017,"1,089,759","1,434,252","264,619","368,209","3,156,839",CENSUS,YEAR,STATE,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10565,WPS,YEAR,STATE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,,
