program,year,period,geo_level,state,state_ansi,commodity,data_item,domain,domain_category,value
CENSUS,2022,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,22516
CENSUS,2022,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15524
CENSUS,2022,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,50193
CENSUS,2022,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,20815
CENSUS,2022,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17419
CENSUS,2022,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31870
CENSUS,2022,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,636
CENSUS,2022,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,9843
CENSUS,2022,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16319
CENSUS,2022,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,29378
CENSUS,2022,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,54591
CENSUS,2022,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7265
CENSUS,2022,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4320
CENSUS,2022,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19242
CENSUS,2022,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15791
CENSUS,2022,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12933
CENSUS,2022,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,39352
CENSUS,2022,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3623
CENSUS,2017,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13985
CENSUS,2017,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,648
CENSUS,2017,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3958
CENSUS,2017,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15205
CENSUS,2017,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45261
CENSUS,2017,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15311
CENSUS,2017,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3257
CENSUS,2017,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1308
CENSUS,2017,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16239
CENSUS,2017,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17165
CENSUS,2017,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5031
CENSUS,2017,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12384
CENSUS,2017,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49763
CENSUS,2017,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36694
CENSUS,2017,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,57554
CENSUS,2017,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35500
CENSUS,2017,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36584
CENSUS,2017,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8747
CENSUS,2017,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4904
CENSUS,2017,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6891
CENSUS,2017,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4312
CENSUS,2017,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31228
CENSUS,2017,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,46722
CENSUS,2017,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11780
CENSUS,2017,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45997
CENSUS,2017,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11813
CENSUS,2017,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,30911
CENSUS,2017,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1344
CENSUS,2017,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2304
CENSUS,2017,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6414
CENSUS,2017,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8251
CENSUS,2017,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,21649
CENSUS,2017,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,24144
CENSUS,2017,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15706
CENSUS,2017,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,51675
CENSUS,2017,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,25642
CENSUS,2017,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17894
CENSUS,2017,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35002
CENSUS,2017,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,577
CENSUS,2017,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10565
CENSUS,2017,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17734
CENSUS,2017,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,30751
CENSUS,2017,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,66273
CENSUS,2017,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8326
CENSUS,2017,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4427
CENSUS,2017,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,20026
CENSUS,2017,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17271
CENSUS,2017,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13201
CENSUS,2017,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,44332
CENSUS,2017,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4361
CENSUS,2012,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13264
CENSUS,2012,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,471
CENSUS,2012,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4907
CENSUS,2012,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,14781
CENSUS,2012,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49253
CENSUS,2012,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13885
CENSUS,2012,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3249
CENSUS,2012,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1296
CENSUS,2012,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17287
CENSUS,2012,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15678
CENSUS,2012,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5057
CENSUS,2012,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12278
CENSUS,2012,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,48977
CENSUS,2012,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35577
CENSUS,2012,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,58654
CENSUS,2012,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,37584
CENSUS,2012,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35991
CENSUS,2012,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8743
CENSUS,2012,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4899
CENSUS,2012,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6389
CENSUS,2012,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4330
CENSUS,2012,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31697
CENSUS,2012,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49591
CENSUS,2012,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12126
CENSUS,2012,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45711
CENSUS,2012,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13758
CENSUS,2012,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,33375
CENSUS,2012,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1494
CENSUS,2012,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2356
CENSUS,2012,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5812
CENSUS,2012,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8640
CENSUS,2012,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,22046
CENSUS,2012,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,24610
CENSUS,2012,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18220
CENSUS,2012,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,47771
CENSUS,2012,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,29937
CENSUS,2012,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17120
CENSUS,2012,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36948
CENSUS,2012,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,661
CENSUS,2012,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10020
CENSUS,2012,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19574
CENSUS,2012,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19897
CENSUS,2012,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,77520
CENSUS,2012,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8320
CENSUS,2012,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4551
CENSUS,2012,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19601
CENSUS,2012,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17331
CENSUS,2012,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11494
CENSUS,2012,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,44977
CENSUS,2012,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4577
CENSUS,2007,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13681
CENSUS,2007,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,384
CENSUS,2007,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4513
CENSUS,2007,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15966
CENSUS,2007,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,48901
CENSUS,2007,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13897
CENSUS,2007,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2937
CENSUS,2007,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1517
CENSUS,2007,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17307
CENSUS,2007,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15305
CENSUS,2007,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5376
CENSUS,2007,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10688
CENSUS,2007,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49658
CENSUS,2007,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36142
CENSUS,2007,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,59196
CENSUS,2007,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36158
CENSUS,2007,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35077
CENSUS,2007,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8241
CENSUS,2007,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4427
CENSUS,2007,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6763
CENSUS,2007,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4162
CENSUS,2007,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,32167
CENSUS,2007,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,46189
CENSUS,2007,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10712
